Polygon_Name,Concatenate,rsrp-pop ,Sum of rsrp-pop,RSRP-AVG,Review (Detail Reason)
646_Psrymanggara,646_Psrymanggara|4431842E_CO|430265|2,1662,11%,-88.54813478,NOT GO -> Have Pico
646_Psrymanggara,646_Psrymanggara|4431842E_CO|430265|5,3,43%,-89,NOT GO -> Have Pico
646_Psrymanggara,646_Psrymanggara|4431842E_CO|430265|8,4,19%,-90,NOT GO -> Have Pico
647_Puriimperium,647_Puriimperium|441PC409E_CO|430311|6,462,6%,-94.42857143,NOT GO -> Have Pico
1292_Tzu Chi Hospital,1292_Tzu Chi Hospital|441PX025E|420129|2,167,6%,-114.5868263,OK -> GO
177_Walikotajkb,177_Walikotajkb|441PC492E|420830|7,17,8%,-95.35294118,NOT GO -> Have Pico
647_Puriimperium,647_Puriimperium|SH4431852BE-LTE-POLE-R1S1PSKD|430050|4,13,43%,-83.07692308,NOT GO -> Have Pico
647_Puriimperium,647_Puriimperium|SH4431852BE-LTE-POLE-R1S1PSKD|430050|7,4,16%,-87.75,NOT GO -> Have Pico
648_Rajawalinstr,648_Rajawalinstr|441PL081E_CO|430862|25,57,83%,-93.63157895,NOT GO -> Good Coverage from Surrounding
649_Rsjakarta,649_Rsjakarta|4424902E-LTE-SUDIRMAN-TOWER|420640|6,8,42%,-66.75,NOT GO -> Covered by Surrounding
649_Rsjakarta,649_Rsjakarta|4424902E-LTE-SUDIRMAN-TOWER|420640|9,6,16%,-81.5,NOT GO -> Covered by Surrounding
649_Rsjakarta,649_Rsjakarta|4424975E|421021|2,2,6%,-88,NOT GO -> Covered by Surrounding
649_Rsjakarta,649_Rsjakarta|4424975E|421021|5,3,10%,-66.66666667,NOT GO -> Covered by Surrounding
649_Rsjakarta,649_Rsjakarta|4424975E|421021|8,4,5%,-74,NOT GO -> Covered by Surrounding
65_Itccempakart,65_Itccempakart|441PC359E_C2|410273|25,27,7%,-88.33333333,NOT GO -> Have Pico
65_Itccempakart,65_Itccempakart|441PC359E_C2|410273|35,37,6%,-84.10810811,NOT GO -> Have Pico
983_Htlbumiwyata,983_Htlbumiwyata|4465554E_CO|460101|7,166,14%,-99.12048193,"NOT GO -> Small Building, covered by Surrounding"
65_Itccempakart,65_Itccempakart|441PC359E_CO|410267|4,19,12%,-84.31578947,NOT GO -> Have Pico
65_Itccempakart,65_Itccempakart|441PC359E_CO|410267|6,98,24%,-89.75510204,NOT GO -> Have Pico
65_Itccempakart,65_Itccempakart|441PC359E_CO|410267|7,10,9%,-94.8,NOT GO -> Have Pico
65_Itccempakart,65_Itccempakart|441PC359E_CO|410267|9,39,15%,-93.35897436,NOT GO -> Have Pico
650_Rsmedistra-TBG,650_Rsmedistra-TBG|441PC977E-LTE-RS-MEDISTRA|430373|4,72,46%,-77.69444444,NOT GO -> Have Pico
650_Rsmedistra-TBG,650_Rsmedistra-TBG|441PC977E-LTE-RS-MEDISTRA|430373|5,22,18%,-85.13636364,NOT GO -> Have Pico
650_Rsmedistra-TBG,650_Rsmedistra-TBG|SH4431856E-LTE-POLE-R5M|430467|5,13,16%,-92.61538462,NOT GO -> Have Pico
651_Rsmmc,651_Rsmmc|441PC475E_CO|430725|4,16,7%,-92.5625,NOT GO -> Have Pico
651_Rsmmc,651_Rsmmc|441PL357E_CO|431137|25,31,5%,-71.03225806,NOT GO -> Have Pico
651_Rsmmc,651_Rsmmc|441PL486E_CO|430977|35,13,6%,-93.53846154,NOT GO -> Have Pico
651_Rsmmc,651_Rsmmc|441PX458E-LTE-RS-MMC|430292|4,90,44%,-78.52222222,NOT GO -> Have Pico
651_Rsmmc,651_Rsmmc|SH4431854EX-LTE-POLE-R3M-HIGH-SCOPE|430328|4,9,11%,-80.77777778,NOT GO -> Have Pico
651_Rsmmc,651_Rsmmc|SH4431854EX-LTE-POLE-R3M-HIGH-SCOPE|430328|7,32,8%,-95.84375,NOT GO -> Have Pico
652_Rssiloamsemanggi,652_Rssiloamsemanggi|441PX436E-LTE-RS-MMRC|420547|4,82,11%,-81.12195122,NOT GO -> Have Pico
652_Rssiloamsemanggi,652_Rssiloamsemanggi|441PX436E-LTE-RS-MMRC|420547|5,23,17%,-81.39130435,NOT GO -> Have Pico
652_Rssiloamsemanggi,652_Rssiloamsemanggi|4424902E-LTE-SUDIRMAN-TOWER|420640|4,26,11%,-70.84615385,NOT GO -> Have Pico
652_Rssiloamsemanggi,652_Rssiloamsemanggi|4424902E-LTE-SUDIRMAN-TOWER|420640|7,34,9%,-88.73529412,NOT GO -> Have Pico
652_Rssiloamsemanggi,652_Rssiloamsemanggi|4435023E_CO|430018|5,49,15%,-83.63265306,NOT GO -> Have Pico
197_Poltanganexkomxbata,197_Poltanganexkomxbata|4443303E_CO|440385|7,163,28%,-116.9447853,NOT GO -> Hard Sitaq
699_Alamandatower,699_Alamandatower|4435520E_C2|430914|19,2,7%,-97.5,NOT GO -> Have Pico
170_Swissbellbdrcengkareng-IBS,170_Swissbellbdrcengkareng-IBS|4473115E_CO|471421|4,4,7%,-101.25,OK -> GO
1336_RS MANDAYA ROYAL PURI,1336_RS MANDAYA ROYAL PURI|4473111E_CO|471410|1,1,7%,-101,OK -> GO
1307_KOKAS 3 (APARTMENT & OFFICE TOWER),1307_KOKAS 3 (APARTMENT & OFFICE TOWER)|541PC167N_CO|430041|14,16,7%,-101.8125,NOT GO -> Have Pico
653_Satriotower-MAC,653_Satriotower-MAC|SH4431845E_CO|430843|8,3,5%,-79.33333333,OK -> GO with Change SOW
654_Sentramulia,654_Sentramulia|SH4431854EX-LTE-POLE-R3M-HIGH-SCOPE|430328|5,95,64%,-71.58947368,NOT GO -> Have Pico
654_Sentramulia,654_Sentramulia|SH4431854EX-LTE-POLE-R3M-HIGH-SCOPE|430328|7,46,28%,-75.7173913,NOT GO -> Have Pico
