Polygon_Name,Concatenate,rsrp-pop ,Sum of rsrp-pop,RSRP-AVG,Review (Detail Reason)
1_Mangkuluhur,1_Mangkuluhur|442PC152E_CO|420993|14,7,6%,-74.71428571,OK -> GO
1_Mangkuluhur,1_Mangkuluhur|442PC152E_CO|420993|26,68,14%,-83.45588235,OK -> GO
878_Sheratonbdr,878_Sheratonbdr|4414948E_C2|472052|9,1,100%,-106,NOT GO -> Good Coverage from Surrounding
926_Ekalokasari,926_Ekalokasari|441PC104E-LTE-EKALOKASARI|460183|4,1,94%,-95,NOT GO -> Have Pico
1206_Pasar Leuwisadeng,1206_Pasar Leuwisadeng|441A144E|460640|6,23,94%,-99.08695652,NOT GO -> Good Coverage from Surrounding
1214_Pasar Bandeng,1214_Pasar Bandeng|4413558E_CO|470798|5,1,94%,-98,NOT GO -> Good Coverage from Surrounding
1_Mangkuluhur,1_Mangkuluhur|4435026E_CO|420041|6,47,7%,-77.0212766,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|4412795E_CO|411069|5,8,6%,-94.375,OK -> GO
802_Snipertaminisquare,802_Snipertaminisquare|4441060E|440653|6,9510,10%,-101.03449,NOT GO -> Have Pico
10_TOYOTAASTRA,10_TOYOTAASTRA|4412992E_CO|410730|4,2,8%,-90,OK -> GO
291_Gdgberca,291_Gdgberca|441PL472E_CO|411034|34,40,86%,-96.2,NOT GO -> Covered by Surrounding
996_Emacwibawamuktickr1,996_Emacwibawamuktickr1|4451776E_C2|451341|9,1,86%,-95,"NOT GO -> 2nd Priority Stadium, Covered by Surrounding"
1071_PASAR PONDOK LABU,1071_PASAR PONDOK LABU|4431871E_BB|431056|3,1990,6%,-107.0778894,"NOT GO -> Small Building, covered by Surrounding"
10_TOYOTAASTRA,10_TOYOTAASTRA|SH4412786E_CO|410895|1,3,13%,-88,OK -> GO
10_TOYOTAASTRA,10_TOYOTAASTRA|SH4412786E_CO|410895|7,2,7%,-70.5,OK -> GO
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|14,25,11%,-84.8,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|4,42,13%,-82.66666667,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|5,132,21%,-85.36363636,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|441PL032E_CO|420979|6,261,28%,-82.3908046,NOT GO -> Have Pico
100_Mallpik-DMT,100_Mallpik-DMT|541PL064N_CO|420980|16,76,12%,-93.90789474,NOT GO -> Have Pico
879_Utilitygmf,879_Utilitygmf|4410599E_CO|470857|15,7,77%,-97.71428571,"NOT GO -> Small Building, covered by Surrounding"
100_Mallpik-DMT,100_Mallpik-DMT|541PL064N_CO|420980|3,15,7%,-81.06666667,NOT GO -> Have Pico
1000_Poltekkes3-TBS,1000_Poltekkes3-TBS|441PL300E_CO|440659|4,10,47%,-80,NOT GO -> Have Pico
172_Kencanatower,172_Kencanatower|4424380E_CO|420165|5,28,76%,-99.64285714,OK -> GO
1072_PASAR RADIO DALAM,1072_PASAR RADIO DALAM|4435131E_CO|430142|15,12,75%,-104.9166667,"NOT GO -> Small Building, covered by Surrounding"
1001_Grandmall,1001_Grandmall|4410959E_CO|410159|1,1,10%,-72,NOT GO -> Have Pico
1001_Grandmall,1001_Grandmall|4410959E_CO|410159|4,86,68%,-90.24418605,NOT GO -> Have Pico
1255_TransMART Bogor Tajur,1255_TransMART Bogor Tajur|4464866E_CO|460171|6,6,75%,-106.3333333,OK -> GO
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E_CO|461292|14,4,9%,-74.5,NOT GO -> Have Pico
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E_CO|461292|15,2,11%,-85,NOT GO -> Have Pico
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E_CO|461292|4,4,21%,-83.25,NOT GO -> Have Pico
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E_CO|461292|5,14,22%,-73.64285714,NOT GO -> Have Pico
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E_CO|461292|6,2273,8%,-75.14210295,NOT GO -> Have Pico
1002_SNIPERTHEPARKSAWANGAN,1002_SNIPERTHEPARKSAWANGAN|441PL432E|461633|26,22,23%,-68.04545455,NOT GO -> Have Pico
1003_Pesonasquare-KBP,1003_Pesonasquare-KBP|441PL049E_CO|461187|15,51,35%,-88.25490196,NOT GO -> Have Pico
1003_Pesonasquare-KBP,1003_Pesonasquare-KBP|441PL049E_CO|461187|4,16,26%,-78.5,NOT GO -> Have Pico
1003_Pesonasquare-KBP,1003_Pesonasquare-KBP|441PL049E_CO|461187|5,11,22%,-77.36363636,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|441PC420E_BB|461855|24,1,12%,-87,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|441PC420E|461030|4,1,8%,-89,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|441PC420E|461030|5,1,7%,-86,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|4465548E_BB|461864|3,534,10%,-90.85580524,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|4475924E_CO|470265|4,10,16%,-84.3,NOT GO -> Have Pico
1004_Cinerebellevuemall-WNI,1004_Cinerebellevuemall-WNI|4475924E_CO|470265|7,581,17%,-92.22030981,NOT GO -> Have Pico
1005_Cineresquare,1005_Cineresquare|441PX452E|461024|4,120,78%,-74.6,NOT GO -> Have Pico
1005_Cineresquare,1005_Cineresquare|4464372E-LTE-CINERE-RAYA-DEPOK|460574|8,3,7%,-89,NOT GO -> Have Pico
921_Ptsamsung,921_Ptsamsung|4414965E_CO|450053|8,2,73%,-99,NOT GO -> Good Coverage from Surrounding
1006_Mallcinere,1006_Mallcinere|4465548E_BB|461864|3,1159,5%,-83.42968076,NOT GO -> Have Pico
1006_Mallcinere,1006_Mallcinere|4465548E_BB|461864|6,4,47%,-87,NOT GO -> Have Pico
750_Mrtblokm-TBG,750_Mrtblokm-TBG|SH4431357E-LTE-SISINGAMANGARAJA-GUNUNG|430483|5,53,71%,-101.490566,OK -> GO
1006_Mallcinere,1006_Mallcinere|446PC310E|461017|4,21,28%,-80.76190476,NOT GO -> Have Pico
1007_Rspuricinere,1007_Rspuricinere|441PX051E-LTE-RS-PURICINERE|460235|4,4,29%,-82.25,NOT GO -> Have Pico
1007_Rspuricinere,1007_Rspuricinere|4465548E_BB|461864|3,2,8%,-89.5,NOT GO -> Have Pico
1007_Rspuricinere,1007_Rspuricinere|4465548E_BB|461864|6,15,37%,-86.6,NOT GO -> Have Pico
461_Wsmnsntrmpr,461_Wsmnsntrmpr|441PC371E|430794|14,1,71%,-112,NOT GO -> Have Pico
1008_Htlradisson,1008_Htlradisson|441C329E_CO|452180|7,1,72%,-92,NOT GO -> Good Coverage from Surrounding
1296_OCBC One Tower,1296_OCBC One Tower|4472226E|471852|4,2,69%,-96,OK -> GO
1032_PASAR GLODOK,1032_PASAR GLODOK|441PL005E_CO|421090|26,85,68%,-99.55294118,NOT GO -> Good Coverage from Surrounding
1009_Mercure Hotel Sabang,1009_Mercure Hotel Sabang|441PL503E_CO|421240|21,172,7%,-77.68023256,NOT GO -> Covered by Surrounding
1009_Mercure Hotel Sabang,1009_Mercure Hotel Sabang|441PL503E_CO|421240|24,20,43%,-65.9,NOT GO -> Covered by Surrounding
1009_Mercure Hotel Sabang,1009_Mercure Hotel Sabang|441PL503E_CO|421240|27,19,31%,-75.84210526,NOT GO -> Covered by Surrounding
841_Aptamartapr1,841_Aptamartapr1|4475552E-LTE-KELAPA-DUA-SERPONG|470133|5,1,67%,-97,NOT GO -> Have Pico
101_Perwatatwr,101_Perwatatwr|441PL485E|421179|25,21,15%,-83.33333333,NOT GO -> Covered by Surrounding
114_Hondaprospectmotor,114_Hondaprospectmotor|SH4412454E|410781|4,51,67%,-105.5294118,"NOT GO -> Factory, covered by Surrounding"
101_Perwatatwr,101_Perwatatwr|SH4424350E-LTE-CENTER-PLUIT-KARYA|420746|4,36,11%,-94.58333333,NOT GO -> Covered by Surrounding
1201_Pasar Jasinga,1201_Pasar Jasinga|4462168E_CO|461209|5,3,66%,-96,NOT GO -> Good Coverage from Surrounding
1010_Mal Boxies 123,1010_Mal Boxies 123|446V026E_CO|460407|3,214,16%,-82.53738318,OK -> GO
1010_Mal Boxies 123,1010_Mal Boxies 123|446V026E_CO|460407|6,798,44%,-88.31578947,OK -> GO
1010_Mal Boxies 123,1010_Mal Boxies 123|446V026E_CO|460407|9,1,34%,-93,OK -> GO
1011_RS Brawijaya Sawangan,1011_RS Brawijaya Sawangan|4461003E_BB|461586|4,4,36%,-90.25,OK -> GO
835_Aeonmallbsd-IBS,835_Aeonmallbsd-IBS|4471289E_CO|471296|2,2,64%,-113.5,NOT GO -> Have Pico
1011_RS Brawijaya Sawangan,1011_RS Brawijaya Sawangan|4464107E_CO|460981|2,118,5%,-90.74576271,OK -> GO
1011_RS Brawijaya Sawangan,1011_RS Brawijaya Sawangan|4464107E_CO|460981|5,249,19%,-90.00401606,OK -> GO
812_Cbdciledug-TBG,812_Cbdciledug-TBG|441PL172E_BB|421303|25,1937,47%,-98.93082086,NOT GO -> Have Pico
1012_Thamrin 9 (TOWER A),1012_Thamrin 9 (TOWER A)|441PL390E_CO|421390|23,6,8%,-92.83333333,OK -> GO
1012_Thamrin 9 (TOWER A),1012_Thamrin 9 (TOWER A)|441PL390E_CO|421390|26,28,26%,-78.57142857,OK -> GO
1012_Thamrin 9 (TOWER A),1012_Thamrin 9 (TOWER A)|441PL390E_CO|421390|29,6,11%,-87.16666667,OK -> GO
500_Aptwslingkdy,500_Aptwslingkdy|MC4424233E|420350|7,22,63%,-97.18181818,NOT GO -> Covered by Surrounding
1012_Thamrin 9 (TOWER A),1012_Thamrin 9 (TOWER A)|442PX349E_CO|420332|4,5,8%,-85.4,OK -> GO
1012_Thamrin 9 (TOWER A),1012_Thamrin 9 (TOWER A)|442PX349E_CO|420332|6,1,5%,-78,OK -> GO
1013_RSMK Bintaro,1013_RSMK Bintaro|4475259E_CO|470654|5,6,31%,-93,OK -> GO
1187_Pasar Ciawi,1187_Pasar Ciawi|4453026E_CO|450908|2,1780,35%,-102.2483146,"NOT GO -> Small Building, covered by Surrounding"
1013_RSMK Bintaro,1013_RSMK Bintaro|4475269E_CO|470121|4,10,8%,-86.3,OK -> GO
1013_RSMK Bintaro,1013_RSMK Bintaro|447PC049E-LTE-BNTROPLZ4|470447|14,2,14%,-93,OK -> GO
1014_LOTTE SHOPPING ALAM SUTRA,1014_LOTTE SHOPPING ALAM SUTRA|441PC976E_CO|470384|15,16,63%,-92.4375,"NOT GO -> Small Building, covered by Surrounding"
1014_LOTTE SHOPPING ALAM SUTRA,1014_LOTTE SHOPPING ALAM SUTRA|441PC976E_CO|470384|18,1,30%,-94,"NOT GO -> Small Building, covered by Surrounding"
1015_LOTTE SHOPPING SERANG,1015_LOTTE SHOPPING SERANG|4483756E_BB|481097|3,1,8%,-93,"NOT GO -> Small Building, covered by Surrounding"
1015_LOTTE SHOPPING SERANG,1015_LOTTE SHOPPING SERANG|4483756E_BB|481097|6,721,8%,-80.03883495,"NOT GO -> Small Building, covered by Surrounding"
1015_LOTTE SHOPPING SERANG,1015_LOTTE SHOPPING SERANG|4485561E_CO|480021|1,1018,12%,-77.85068762,"NOT GO -> Small Building, covered by Surrounding"
1015_LOTTE SHOPPING SERANG,1015_LOTTE SHOPPING SERANG|4485561E_CO|480021|4,2,38%,-76,"NOT GO -> Small Building, covered by Surrounding"
1015_LOTTE SHOPPING SERANG,1015_LOTTE SHOPPING SERANG|4485561E_CO|480021|7,8,30%,-85.5,"NOT GO -> Small Building, covered by Surrounding"
1016_LOTTE SERPONG,1016_LOTTE SERPONG|4465787E_CO|460333|3,1290,15%,-75.92248062,NOT GO -> Covered by Solution at Surrounding
1016_LOTTE SERPONG,1016_LOTTE SERPONG|4465787E_CO|460333|6,3,58%,-82.66666667,NOT GO -> Covered by Solution at Surrounding
1016_LOTTE SERPONG,1016_LOTTE SERPONG|4465787E_CO|460333|9,2,27%,-84,NOT GO -> Covered by Solution at Surrounding
1017_LOTTE PASAR REBO,1017_LOTTE PASAR REBO|4443986E|440868|8,4877,26%,-91.87594833,OK -> GO
1017_LOTTE PASAR REBO,1017_LOTTE PASAR REBO|4445740E_C2|440761|16,439,6%,-85.6309795,OK -> GO
1017_LOTTE PASAR REBO,1017_LOTTE PASAR REBO|SH4443784E_CO|440191|3,1,30%,-88,OK -> GO
1190_Pasar Cigombong,1190_Pasar Cigombong|4465121E|462037|5,1662,38%,-95.06016847,"NOT GO -> Small Building, covered by Surrounding"
1017_LOTTE PASAR REBO,1017_LOTTE PASAR REBO|SH4443784E_CO|440191|9,1,9%,-94,OK -> GO
1018_LOTTE BEKASI,1018_LOTTE BEKASI|4412987E_CO|410536|3,38,9%,-90.26315789,"NOT GO -> Small Building, covered by Surrounding"
1018_LOTTE BEKASI,1018_LOTTE BEKASI|4412987E_CO|410536|6,2,54%,-84,"NOT GO -> Small Building, covered by Surrounding"
1018_LOTTE BEKASI,1018_LOTTE BEKASI|4412987E_CO|410536|9,2,18%,-82,"NOT GO -> Small Building, covered by Surrounding"
1018_LOTTE BEKASI,1018_LOTTE BEKASI|441PX220E_C2|411161|34,41,7%,-85.80487805,"NOT GO -> Small Building, covered by Surrounding"
1019_LOTTE KELAPA GADING,1019_LOTTE KELAPA GADING|4411352E_CO|410064|1,1,21%,-81,"NOT GO -> Small Building, covered by Surrounding"
1019_LOTTE KELAPA GADING,1019_LOTTE KELAPA GADING|4411352E_CO|410064|4,8,38%,-72.75,"NOT GO -> Small Building, covered by Surrounding"
1019_LOTTE KELAPA GADING,1019_LOTTE KELAPA GADING|4411352E_CO|410064|7,1,34%,-72,"NOT GO -> Small Building, covered by Surrounding"
102_Pluitjunction,102_Pluitjunction|441PL133E_CO|421077|26,13,30%,-72.84615385,NOT GO -> Have Pico
102_Pluitjunction,102_Pluitjunction|441PL485E|421179|24,11,20%,-74.54545455,NOT GO -> Have Pico
102_Pluitjunction,102_Pluitjunction|441PX314E_CO|420633|4,2,16%,-79,NOT GO -> Have Pico
102_Pluitjunction,102_Pluitjunction|441PX314E_CO|420633|6,3,6%,-67.66666667,NOT GO -> Have Pico
102_Pluitjunction,102_Pluitjunction|441PX314E_CO|420633|7,22,11%,-85.72727273,NOT GO -> Have Pico
102_Pluitjunction,102_Pluitjunction|441PX314E_CO|420633|8,57,6%,-80.98245614,NOT GO -> Have Pico
1020_LOTTE FATMAWATI,1020_LOTTE FATMAWATI|441PC314E|430654|4,51,88%,-84.60784314,"NOT GO -> Small Building, covered by Surrounding"
1021_LOTTE MERUYA,1021_LOTTE MERUYA|4424367E_CO|420373|14,8,23%,-86.5,"NOT GO -> Small Building, covered by Surrounding"
812_Cbdciledug-TBG,812_Cbdciledug-TBG|4475544E_BB|471544|19,1628,16%,-99.42874693,NOT GO -> Have Pico
1021_LOTTE MERUYA,1021_LOTTE MERUYA|4424367E_CO|420373|4,75,35%,-86.21333333,"NOT GO -> Small Building, covered by Surrounding"
1021_LOTTE MERUYA,1021_LOTTE MERUYA|4424367E_CO|420373|7,53,28%,-86.37735849,"NOT GO -> Small Building, covered by Surrounding"
1022_LOTTE JATAKE,1022_LOTTE JATAKE|4410666E_CO|470672|2,41,5%,-93.65853659,"NOT GO -> Small Building, covered by Surrounding"
1022_LOTTE JATAKE,1022_LOTTE JATAKE|4410666E_CO|470672|5,1,21%,-93,"NOT GO -> Small Building, covered by Surrounding"
1022_LOTTE JATAKE,1022_LOTTE JATAKE|4410666E_CO|470672|8,96,14%,-91.9375,"NOT GO -> Small Building, covered by Surrounding"
1022_LOTTE JATAKE,1022_LOTTE JATAKE|MC4471899E_CO|470273|14,2,39%,-86,"NOT GO -> Small Building, covered by Surrounding"
1022_LOTTE JATAKE,1022_LOTTE JATAKE|MC4471899E_CO|470273|17,119,18%,-90.75630252,"NOT GO -> Small Building, covered by Surrounding"
1023_GIANT EKSTRA SERANG,1023_GIANT EKSTRA SERANG|441A183E_CO|480033|4,154,29%,-80.66883117,"NOT GO -> Small Building, covered by Surrounding"
1023_GIANT EKSTRA SERANG,1023_GIANT EKSTRA SERANG|441A183E_CO|480033|7,43,9%,-81.6744186,"NOT GO -> Small Building, covered by Surrounding"
1023_GIANT EKSTRA SERANG,1023_GIANT EKSTRA SERANG|4483729E_CO|480008|3,121,23%,-83.2892562,"NOT GO -> Small Building, covered by Surrounding"
1023_GIANT EKSTRA SERANG,1023_GIANT EKSTRA SERANG|4483763E|480007|5,36,9%,-77.97222222,"NOT GO -> Small Building, covered by Surrounding"
1023_GIANT EKSTRA SERANG,1023_GIANT EKSTRA SERANG|4483763E|480007|8,90,15%,-83.52222222,"NOT GO -> Small Building, covered by Surrounding"
1024_GIANT EKSTRA HARAPAN INDAH (PALEM HIJAU),1024_GIANT EKSTRA HARAPAN INDAH (PALEM HIJAU)|4412974E_BB|411109|3,46,13%,-94.97826087,"NOT GO -> Small Building, covered by Surrounding"
1040_PASAR KEDOYA,1040_PASAR KEDOYA|4425141E_CO|420212|6,12,62%,-106.1666667,"NOT GO -> Small Building, covered by Surrounding"
1024_GIANT EKSTRA HARAPAN INDAH (PALEM HIJAU),1024_GIANT EKSTRA HARAPAN INDAH (PALEM HIJAU)|4412989E_CO|410187|14,36,14%,-84.72222222,"NOT GO -> Small Building, covered by Surrounding"
1024_GIANT EKSTRA HARAPAN INDAH (PALEM HIJAU),1024_GIANT EKSTRA HARAPAN INDAH (PALEM HIJAU)|4412989E_CO|410187|17,58,26%,-93.70689655,"NOT GO -> Small Building, covered by Surrounding"
1024_GIANT EKSTRA HARAPAN INDAH (PALEM HIJAU),1024_GIANT EKSTRA HARAPAN INDAH (PALEM HIJAU)|4412989E_CO|410187|4,10,12%,-94.8,"NOT GO -> Small Building, covered by Surrounding"
1024_GIANT EKSTRA HARAPAN INDAH (PALEM HIJAU),1024_GIANT EKSTRA HARAPAN INDAH (PALEM HIJAU)|4412989E_CO|410187|7,2,7%,-93,"NOT GO -> Small Building, covered by Surrounding"
1025_PASAR ASAM REGES,1025_PASAR ASAM REGES|4412154E_CO|410339|5,4,21%,-90,"NOT GO -> Small Building, covered by Surrounding"
1041_PASAR MANGGA BESAR,1041_PASAR MANGGA BESAR|MC4424759E_CO|421132|6,8,61%,-107.125,"NOT GO -> Small Building, covered by Surrounding"
1025_PASAR ASAM REGES,1025_PASAR ASAM REGES|4425708E_CO|420255|4,5,19%,-92.2,"NOT GO -> Small Building, covered by Surrounding"
1025_PASAR ASAM REGES,1025_PASAR ASAM REGES|4425708E_CO|420255|7,10,43%,-92.8,"NOT GO -> Small Building, covered by Surrounding"
1026_PASAR BOJONG INDAH,1026_PASAR BOJONG INDAH|BH4424190E-LTE-PAKIS-RAWA-BUAYA|420448|6,82,61%,-87.56097561,"NOT GO -> Small Building, covered by Surrounding"
1026_PASAR BOJONG INDAH,1026_PASAR BOJONG INDAH|BH4424190E-LTE-PAKIS-RAWA-BUAYA|420448|9,21,27%,-91.80952381,"NOT GO -> Small Building, covered by Surrounding"
1026_PASAR BOJONG INDAH,1026_PASAR BOJONG INDAH|V268G_CO|420370|4,24,5%,-92.45833333,"NOT GO -> Small Building, covered by Surrounding"
1027_PASAR CENGKARENG,1027_PASAR CENGKARENG|4423438E|420150|15,90,47%,-89.22222222,OK -> GO
110_AptmetrosntrINDOOR,110_AptmetrosntrINDOOR|MC4412438E_CO|410276|7,19,60%,-100.1578947,NOT GO -> Good Coverage from Surrounding
1028_PASAR CITRA GARDEN,1028_PASAR CITRA GARDEN|SH4424466E_CO|420948|1,274,15%,-73.8649635,NOT GO -> Good Coverage from Surrounding
1028_PASAR CITRA GARDEN,1028_PASAR CITRA GARDEN|SH4424466E_CO|420948|4,2,41%,-78.5,NOT GO -> Good Coverage from Surrounding
1028_PASAR CITRA GARDEN,1028_PASAR CITRA GARDEN|SH4424466E_CO|420948|7,9,40%,-72.77777778,NOT GO -> Good Coverage from Surrounding
1029_PASAR DUTA MAS,1029_PASAR DUTA MAS|MC4424743E_CO|420308|1,9,13%,-73.66666667,NOT GO -> Good Coverage from Surrounding
1029_PASAR DUTA MAS,1029_PASAR DUTA MAS|MC4424743E_CO|420308|14,30,61%,-78.96666667,NOT GO -> Good Coverage from Surrounding
1029_PASAR DUTA MAS,1029_PASAR DUTA MAS|MC4424743E_CO|420308|17,3,20%,-87.66666667,NOT GO -> Good Coverage from Surrounding
435_Plazacentralsenayan,435_Plazacentralsenayan|MC4431290E_CO|430019|14,1,60%,-95,NOT GO -> Have Pico
103_Pluitmegamal,103_Pluitmegamal|441PX330E-LTE-PLUIT-VILLAGE|420131|5,45,7%,-83.08888889,NOT GO -> Have Pico
103_Pluitmegamal,103_Pluitmegamal|MC4412365E|420286|3,19,15%,-88.42105263,NOT GO -> Have Pico
103_Pluitmegamal,103_Pluitmegamal|MC4412365E|420286|6,292,43%,-88.23287671,NOT GO -> Have Pico
103_Pluitmegamal,103_Pluitmegamal|MC4412365E|420286|9,127,19%,-92.68503937,NOT GO -> Have Pico
1030_PASAR GANEFO,1030_PASAR GANEFO|4424608E_CO|421426|6,56,70%,-86.23214286,"NOT GO -> Small Building, covered by Surrounding"
1030_PASAR GANEFO,1030_PASAR GANEFO|4425735E_CO|420261|4,19,10%,-89,"NOT GO -> Small Building, covered by Surrounding"
1030_PASAR GANEFO,1030_PASAR GANEFO|4425735E_CO|420261|7,8,13%,-90.75,"NOT GO -> Small Building, covered by Surrounding"
1031_PASAR GANG KANCIL,1031_PASAR GANG KANCIL|4424888E_CO|420955|1,22,19%,-76.13636364,"NOT GO -> Small Building, covered by Surrounding"
1031_PASAR GANG KANCIL,1031_PASAR GANG KANCIL|4424888E_CO|420955|14,53,37%,-77.75471698,"NOT GO -> Small Building, covered by Surrounding"
1031_PASAR GANG KANCIL,1031_PASAR GANG KANCIL|4424888E_CO|420955|17,34,34%,-81.47058824,"NOT GO -> Small Building, covered by Surrounding"
1300_Pomelotel,1300_Pomelotel|SH4431856E-LTE-POLE-R5M|430467|4,33,60%,-104.6060606,"NOT GO -> Small Building, covered by Surrounding"
777_Apttmnraja,777_Apttmnraja|MC4413927E|430492|5,7,59%,-95,OK -> GO
1033_PASAR GROGOL,1033_PASAR GROGOL|4413974E_CO|420091|4,46,52%,-84.93478261,NOT GO -> Covered by Surrounding
1033_PASAR GROGOL,1033_PASAR GROGOL|4413974E_CO|420091|7,23,34%,-88.39130435,NOT GO -> Covered by Surrounding
312_Pertamina,312_Pertamina|4411233E-LTE-Lapangan-Banteng|410079|5,3,58%,-96.66666667,NOT GO -> Have Pico
1034_PASAR HWI LINDETEVES,1034_PASAR HWI LINDETEVES|4425074E_BB|421375|3,3,7%,-69,NOT GO -> Have Pico
1034_PASAR HWI LINDETEVES,1034_PASAR HWI LINDETEVES|4425074E_BB|421375|6,8,24%,-74.375,NOT GO -> Have Pico
1034_PASAR HWI LINDETEVES,1034_PASAR HWI LINDETEVES|4425074E_BB|421375|9,9,17%,-67.88888889,NOT GO -> Have Pico
1034_PASAR HWI LINDETEVES,1034_PASAR HWI LINDETEVES|442PC221E|420857|4,15,22%,-91.26666667,NOT GO -> Have Pico
1034_PASAR HWI LINDETEVES,1034_PASAR HWI LINDETEVES|MC4424744E_CO|420379|5,22,18%,-82.86363636,NOT GO -> Have Pico
1034_PASAR HWI LINDETEVES,1034_PASAR HWI LINDETEVES|MC4424744E_CO|420379|8,22,9%,-88.90909091,NOT GO -> Have Pico
1035_PASAR JELAMBAR POLRI,1035_PASAR JELAMBAR POLRI|4425697E_CO|420100|14,38,52%,-85.52631579,"NOT GO -> Small Building, covered by Surrounding"
1035_PASAR JELAMBAR POLRI,1035_PASAR JELAMBAR POLRI|4425697E_CO|420100|17,16,44%,-92.875,"NOT GO -> Small Building, covered by Surrounding"
1036_PASAR JEMBATAN BESI,1036_PASAR JEMBATAN BESI|4425478E_CO|420902|6,43,25%,-77.8372093,"NOT GO -> Small Building, covered by Surrounding"
1036_PASAR JEMBATAN BESI,1036_PASAR JEMBATAN BESI|4425478E_CO|420902|8,10,6%,-89.3,"NOT GO -> Small Building, covered by Surrounding"
1036_PASAR JEMBATAN BESI,1036_PASAR JEMBATAN BESI|4425478E_CO|420902|9,60,63%,-80.93333333,"NOT GO -> Small Building, covered by Surrounding"
1037_PASAR JEMBATAN DUA,1037_PASAR JEMBATAN DUA|4425071E_CO|420197|3,24,22%,-76.58333333,"NOT GO -> Small Building, covered by Surrounding"
1037_PASAR JEMBATAN DUA,1037_PASAR JEMBATAN DUA|4425071E_CO|420197|6,75,25%,-85.18666667,"NOT GO -> Small Building, covered by Surrounding"
1037_PASAR JEMBATAN DUA,1037_PASAR JEMBATAN DUA|4425071E_CO|420197|8,36,12%,-82.58333333,"NOT GO -> Small Building, covered by Surrounding"
1037_PASAR JEMBATAN DUA,1037_PASAR JEMBATAN DUA|4425071E_CO|420197|9,90,35%,-83.88888889,"NOT GO -> Small Building, covered by Surrounding"
1038_PASAR KALIDERES,1038_PASAR KALIDERES|MC4424272E|420303|1,1,19%,-92,NOT GO -> Good Coverage from Surrounding
1038_PASAR KALIDERES,1038_PASAR KALIDERES|MC4424272E|420303|5,4,41%,-94.75,NOT GO -> Good Coverage from Surrounding
1115_PASAR KARANG ANYAR,1115_PASAR KARANG ANYAR|4412154E|411145|16,41,58%,-99.51219512,"NOT GO -> Small Building, covered by Surrounding"
1039_PASAR KAMPUNG DURI,1039_PASAR KAMPUNG DURI|4425055E_CO|420192|5,1,14%,-83,"NOT GO -> Small Building, covered by Surrounding"
1039_PASAR KAMPUNG DURI,1039_PASAR KAMPUNG DURI|MC4424900E_CO|420750|4,9,36%,-83.33333333,"NOT GO -> Small Building, covered by Surrounding"
1039_PASAR KAMPUNG DURI,1039_PASAR KAMPUNG DURI|MC4424900E_CO|420750|7,3,44%,-84.66666667,"NOT GO -> Small Building, covered by Surrounding"
104_Rsiagrandfamilystp-STP,104_Rsiagrandfamilystp-STP|4425102E_CO|420624|4,22,29%,-79.90909091,OK -> GO
104_Rsiagrandfamilystp-STP,104_Rsiagrandfamilystp-STP|4425102E_CO|420624|5,12,41%,-79.91666667,OK -> GO
104_Rsiagrandfamilystp-STP,104_Rsiagrandfamilystp-STP|4425102E_CO|420624|7,10,14%,-82.6,OK -> GO
104_Rsiagrandfamilystp-STP,104_Rsiagrandfamilystp-STP|4425102E_CO|420624|8,5,14%,-88,OK -> GO
863_Rsutangerangifp,863_Rsutangerangifp|4473114E_CO|471504|8,1,57%,-100,NOT GO -> Covered by Surrounding
3_Park Tower MNC Land,3_Park Tower MNC Land|4411252E_BB|410998|6,25,57%,-96.6,OK -> GO
191_Grahaelnusa,191_Grahaelnusa|4431980E_CO|430854|4,2,57%,-98.5,NOT GO -> Covered by Surrounding
721_Aptpakubuwono1,721_Aptpakubuwono1|SH4431407E_CO|430832|9,5,57%,-95.2,NOT GO -> Have Pico
1190_Pasar Cigombong,1190_Pasar Cigombong|4465121E|462037|8,1599,24%,-98.86741714,"NOT GO -> Small Building, covered by Surrounding"
1258_NTMC POLRI,1258_NTMC POLRI|441PL285E_CO|430784|24,2,56%,-96,OK -> GO with Change SOW
