Polygon_Name,Concatenate,rsrp-pop ,Sum of rsrp-pop,RSRP-AVG,Review (Detail Reason)
51_SILKWOOD RESIDENCE,51_SILKWOOD RESIDENCE|441PL260E_CO|472363|25,3912,25%,-94.07142857,OK -> GO
321_Grandkartini,321_Grandkartini|4424877E-LTE-PANGERAN-JAYAKARTA|420182|5,3909,6%,-92.42857143,NOT GO -> Have Pico
1209_Pasar Parungpanjang ,1209_Pasar Parungpanjang |4461014E|461702|8,3899,28%,-85,"NOT GO -> Under Construction, Covered by Surrounding"
842_Htlastonserpong-IBS,842_Htlastonserpong-IBS|441PL116E_BB|472233|28,3898,9%,-83.66666667,NOT GO -> Good Coverage from Surrounding
503_Indosiar-ACA,503_Indosiar-ACA|441PL002E_CO|421111|4,3897,9%,-88.14035088,NOT GO -> Have Pico
260_Ptpamapersadanstr,260_Ptpamapersadanstr|4413491E_CO|410196|5,3896,7%,-100.5245902,NOT GO -> Covered by Surrounding
177_Walikotajkb,177_Walikotajkb|441PC492E|420830|4,3894,7%,-80.16666667,NOT GO -> Have Pico
928_Rsvaniabgr-MAC,928_Rsvaniabgr-MAC|4464780E-LTE-BONDONGAN-SELATAN|460583|9,3891,12%,-74.86040268,NOT GO -> Have Pico
1314_UNIVERSITAS BUNG KARNO,1314_UNIVERSITAS BUNG KARNO|441PX241E|410875|9,3887,14%,-87.04166667,NOT GO -> Good Coverage from Surrounding
114_Hondaprospectmotor,114_Hondaprospectmotor|4415042E_CO|410037|8,3886,15%,-98.525,"NOT GO -> Factory, covered by Surrounding"
603_Kedubesaustraliapatra,603_Kedubesaustraliapatra|4431881E-LTE-PATRA-KUNINGAN-RASAMALA|430190|6,3884,21%,-100,NOT GO -> Hard Sitaq
1000_Poltekkes3-TBS,1000_Poltekkes3-TBS|4443881E_BB|440804|9,3882,7%,-97.825,NOT GO -> Have Pico
1300_Pomelotel,1300_Pomelotel|441PC433E_CO|430704|27,3880,5%,-104.2307692,"NOT GO -> Small Building, covered by Surrounding"
165_Univtrsakti3,165_Univtrsakti3|4413415E_CO|420105|7,3878,7%,-85.81355932,NOT GO -> Have Pico
118_Rspisuliantisaroso-IBS,118_Rspisuliantisaroso-IBS|4414545E_CO|410918|7,3875,16%,-94.33333333,NOT GO -> Have Pico
991_Itccibinong,991_Itccibinong|441PC775E|450500|4,3873,9%,-87,NOT GO -> Have Pico
946_Crfrbkstimur,946_Crfrbkstimur|441PC936E|450162|8,3870,6%,-89.89230769,NOT GO -> Have Pico
1072_PASAR RADIO DALAM,1072_PASAR RADIO DALAM|4435700E-LTE-Radio-Dalam-Raya|430217|7,3865,6%,-94.22222222,"NOT GO -> Small Building, covered by Surrounding"
1253_Terminal 2 Soetta,1253_Terminal 2 Soetta|4475103E_CO|470001|3,3861,5%,-87.7,OK -> GO
1253_Terminal 2 Soetta,1253_Terminal 2 Soetta|447PL315E-LTE-SOETTA-TERMINAL2-SC5|470317|6,3859,5%,-73.93243243,OK -> GO
1047_PASAR SAWAH BESAR,1047_PASAR SAWAH BESAR|MC4424841E|420459|8,3853,6%,-95.83333333,"NOT GO -> Small Building, covered by Surrounding"
320_Depkeuangan,320_Depkeuangan|MC4412237E_CO|410108|6,3848,8%,-90.17391304,NOT GO -> Have Pico
892_Rsomni-STP,892_Rsomni-STP|441PC976E_CO|470384|14,3846,8%,-100.2931034,NOT GO -> Have Pico
1334_PEJATEN PARK,1334_PEJATEN PARK|4443517E_CO|440838|19,3843,6%,-97.25,NOT GO -> Covered by Surrounding
43_HOTEL OMNI BATAVIA,43_HOTEL OMNI BATAVIA|4424235E_CO|421279|17,3832,9%,-97.53846154,NOT GO -> Covered by Surrounding
1119_PASAR LONTAR / KEBON MELATI,1119_PASAR LONTAR / KEBON MELATI|MC4424771E_CO|420312|3,3830,5%,-78.76923077,"NOT GO -> Small Building, covered by Surrounding"
807_Kinoalamsutra-DMT,807_Kinoalamsutra-DMT|441PL152E_CO|471506|14,3826,10%,-76.53333333,NOT GO -> Have Pico
355_Gdgsentramandiri,355_Gdgsentramandiri|441PC803E_BB|411222|8,3817,10%,-87.95522388,NOT GO -> Covered by Surrounding
191_Grahaelnusa,191_Grahaelnusa|4431980E_CO|430854|4,3812,20%,-94.375,NOT GO -> Covered by Surrounding
1045_PASAR PETAK IX,1045_PASAR PETAK IX|441A399E_C2|421054|6,3809,9%,-91.8,"NOT GO -> Small Building, covered by Surrounding"
818_Rauserangtc,818_Rauserangtc|441PX030E|480509|7,3796,10%,-94.6,NOT GO -> Have Pico
1300_Pomelotel,1300_Pomelotel|SH4431856EB_CO|430850|8,3796,5%,-105.375,"NOT GO -> Small Building, covered by Surrounding"
983_Htlbumiwyata,983_Htlbumiwyata|4464814E_CO|460320|8,3794,15%,-102,"NOT GO -> Small Building, covered by Surrounding"
1336_RS MANDAYA ROYAL PURI,1336_RS MANDAYA ROYAL PURI|4414997E-LTE-PONDOK-BAHAR-MANSYUR|470035|6,3784,25%,-95.76470588,OK -> GO
126_Aptdukuhmansiontwrab-MAC,126_Aptdukuhmansiontwrab-MAC|4412302E|411240|4,3782,7%,-100.7222222,NOT GO -> Have Pico
1315_BRINGIN KARYA SEJAHTERA,1315_BRINGIN KARYA SEJAHTERA|441PX373E_CO|410751|4,3780,22%,-83.4,NOT GO -> Covered by Surrounding
111_Cmbtsnipetgdgaltira,111_Cmbtsnipetgdgaltira|4412390E_CO|410522|3,3779,5%,-79.3,NOT GO -> Have Pico
1293_Rusunawa Jatinegara Kaum,1293_Rusunawa Jatinegara Kaum|4412943E_CO|410185|15,3774,7%,-98.21052632,OK -> GO
674_Wsmindocemen,674_Wsmindocemen|441PC439E-LTE-WISMA-INDOCEMENT|420556|5,3772,5%,-82.6,NOT GO -> Have Pico
348_Trisaktikampusfcmpputih,348_Trisaktikampusfcmpputih|SH4412248E-LTE-CEMPAKA-PULOMAS|410366|7,3770,6%,-101.8,NOT GO -> Have Pico
745_Mabespolrikomplekbarat,745_Mabespolrikomplekbarat|MC4411055E_C2|430871|6,3769,6%,-82.38095238,NOT GO -> Have Pico
1214_Pasar Bandeng,1214_Pasar Bandeng|4413558E_CO|470798|8,3762,21%,-85.875,NOT GO -> Good Coverage from Surrounding
1174_Hermina Bitung,1174_Hermina Bitung|4413163E_CO|470663|17,3760,10%,-89,"NOT GO -> Small Building, covered by Surrounding"
946_Crfrbkstimur,946_Crfrbkstimur|441PC936E|450162|3,3755,6%,-89,NOT GO -> Have Pico
754_Pasarmayestikkbnbaru-WNI,754_Pasarmayestikkbnbaru-WNI|441PL004E_CO|430858|4,3750,10%,-81,NOT GO -> Have Pico
1198_Pasar Ciseeng ,1198_Pasar Ciseeng |4464205E|462139|27,3749,31%,-93,NOT GO -> Good Coverage from Surrounding
1219_Pasar Pasarkemis,1219_Pasar Pasarkemis|4413151E_C2|471716|16,3748,38%,-95,NOT GO -> Good Coverage from Surrounding
340_Gudang Garam Office,340_Gudang Garam Office|SH4412305E|410710|5,3748,10%,-96.24096386,OK -> GO
852_Summareconmallserpong2,852_Summareconmallserpong2|441PL116E|472234|6,3742,8%,-78.8,NOT GO -> Have Pico
446_Sekjendpr,446_Sekjendpr|441PC371E|430794|14,3741,7%,-74.91428571,NOT GO -> Have Pico
1012_Thamrin 9 (TOWER A),1012_Thamrin 9 (TOWER A)|441PL390E_CO|421390|23,3739,6%,-85.73333333,OK -> GO
419_Htlshangrila,419_Htlshangrila|4425018E_CO|420011|9,3731,11%,-94.05,NOT GO -> Have Pico
1322_CONDOMINIUM CBD PLUIT 2,1322_CONDOMINIUM CBD PLUIT 2|SH4424350E-LTE-CENTER-PLUIT-KARYA|420746|4,3721,11%,-101.3265306,OK -> GO with Change SOW
1221_Universitas Pamulang (Kampus 2),1221_Universitas Pamulang (Kampus 2)|4462125E_CO|461115|1,3721,10%,-113.2,OK -> GO
95_Cbdpluit,95_Cbdpluit|SH4424350E-LTE-CENTER-PLUIT-KARYA|420746|4,3721,11%,-101.3265306,NOT GO -> Have Pico
11_UPH KEDOKTERAN KARAWACI,11_UPH KEDOKTERAN KARAWACI|4475838E-LTE-FLAMBOYAN-BENCONGAN|470262|8,3719,8%,-102.8148148,NOT GO -> Covered by Solution at Surrounding
348_Trisaktikampusfcmpputih,348_Trisaktikampusfcmpputih|SH4412248E-LTE-CEMPAKA-PULOMAS|410366|17,3712,6%,-89.85714286,NOT GO -> Have Pico
235_Sniperbeacukaipusat-TBS,235_Sniperbeacukaipusat-TBS|441PL580E_CO|411032|25,3706,6%,-81.58064516,NOT GO -> Have Pico
257_Apteastpark-MAC,257_Apteastpark-MAC|441PC543E_BB|411300|17,3705,6%,-91.75757576,NOT GO -> Have Pico
1165_PASAR SAWAH BARAT,1165_PASAR SAWAH BARAT|4443852E_CO|440249|9,3702,7%,-108.3333333,"NOT GO -> Under Construction, Covered by Surrounding"
1269_UPH Kedokteran Karawaci,1269_UPH Kedokteran Karawaci|4475838E-LTE-FLAMBOYAN-BENCONGAN|470262|8,3700,9%,-101.9444444,NOT GO -> Covered by Solution at Surrounding
1298_BUMN Center - Menara Danareksa,1298_BUMN Center - Menara Danareksa|441PL503E_CO|421240|21,3693,15%,-78.4,NOT GO -> Covered by Surrounding
400_Depdiknasbdf,400_Depdiknasbdf|MC4431290E_CO|430019|14,3692,7%,-89.33333333,NOT GO -> Have Pico
