rsrp-l900-qty,rsrp-l900-avg,compare,WKT,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
466,-106.6802575,TRUE,"POLYGON ((105.723764 -6.597895, 105.724124 -6.597895, 105.724124 -6.597535, 105.723764 -6.597535, 105.723764 -6.597895))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
383,-107.2715405,TRUE,"POLYGON ((105.729515 -6.270841, 105.729874 -6.270841, 105.729874 -6.270481, 105.729515 -6.270481, 105.729515 -6.270841))",,,,,,,,,,
829,-114.1568154,TRUE,"POLYGON ((105.73239 -6.681275, 105.732749 -6.681275, 105.732749 -6.680916, 105.73239 -6.680916, 105.73239 -6.681275))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
180,-107.9555556,TRUE,"POLYGON ((105.748204 -6.524218, 105.748563 -6.524218, 105.748563 -6.523858, 105.748204 -6.523858, 105.748204 -6.524218))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
474,-106.757384,TRUE,"POLYGON ((105.755751 -6.536437, 105.75611 -6.536437, 105.75611 -6.536078, 105.755751 -6.536078, 105.755751 -6.536437))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
683,-113.0248902,TRUE,"POLYGON ((105.758626 -6.570221, 105.758986 -6.570221, 105.758986 -6.569861, 105.758626 -6.569861, 105.758626 -6.570221))",BANTEN,PANDEGLANG,SOBANG,36_1_35,136.1877055,KAB. PANDEGLANG_sobang,sobang,KAB. PANDEGLANG,P2,Rural
170,-114.0647059,TRUE,"POLYGON ((105.760783 -6.7625, 105.761142 -6.7625, 105.761142 -6.76214, 105.760783 -6.76214, 105.760783 -6.7625))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
155,-110.7548387,TRUE,"POLYGON ((105.76222 -6.7625, 105.76258 -6.7625, 105.76258 -6.76214, 105.76222 -6.76214, 105.76222 -6.7625))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
180,-113.5388889,TRUE,"POLYGON ((105.76258 -6.761781, 105.762939 -6.761781, 105.762939 -6.761422, 105.76258 -6.761422, 105.76258 -6.761781))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
211,-113.6350711,TRUE,"POLYGON ((105.773002 -6.759984, 105.773362 -6.759984, 105.773362 -6.759625, 105.773002 -6.759625, 105.773002 -6.759984))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
166,-117.1084337,TRUE,"POLYGON ((105.775518 -6.766094, 105.775877 -6.766094, 105.775877 -6.765734, 105.775518 -6.765734, 105.775518 -6.766094))",BANTEN,PANDEGLANG,CIBALIUNG,36_1_3,112.8777916,KAB. PANDEGLANG_cibaliung,cibaliung,KAB. PANDEGLANG,P2,Rural
257,-119.8949416,TRUE,"POLYGON ((105.780909 -6.514154, 105.781268 -6.514154, 105.781268 -6.513795, 105.780909 -6.513795, 105.780909 -6.514154))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
212,-122.1792453,TRUE,"POLYGON ((105.788097 -6.595738, 105.788456 -6.595738, 105.788456 -6.595379, 105.788097 -6.595379, 105.788097 -6.595738))",BANTEN,PANDEGLANG,SOBANG,36_1_35,136.1877055,KAB. PANDEGLANG_sobang,sobang,KAB. PANDEGLANG,P2,Rural
181,-121.7071823,TRUE,"POLYGON ((105.788097 -6.596098, 105.788456 -6.596098, 105.788456 -6.595738, 105.788097 -6.595738, 105.788097 -6.596098))",BANTEN,PANDEGLANG,SOBANG,36_1_35,136.1877055,KAB. PANDEGLANG_sobang,sobang,KAB. PANDEGLANG,P2,Rural
490,-108.3734694,TRUE,"POLYGON ((105.793129 -6.497981, 105.793488 -6.497981, 105.793488 -6.497622, 105.793129 -6.497622, 105.793129 -6.497981))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
418,-110.8373206,TRUE,"POLYGON ((105.793488 -6.497981, 105.793847 -6.497981, 105.793847 -6.497622, 105.793488 -6.497622, 105.793488 -6.497981))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
400,-112.285,TRUE,"POLYGON ((105.793847 -6.753155, 105.794207 -6.753155, 105.794207 -6.752796, 105.793847 -6.752796, 105.793847 -6.753155))",BANTEN,PANDEGLANG,CIKEUSIK,36_1_4,207.4902985,KAB. PANDEGLANG_cikeusik,cikeusik,KAB. PANDEGLANG,P2,Rural
