rsrp-combined-qty,rsrp-combined-avg,compare,geometry,Tower ID,Frequency System,Longitude,Latitude,distance_existing,Planning ID,Lat,Long,distance_new,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
36786,-106.911624,TRUE,"POLYGON ((107.115721 -6.338048, 107.11608 -6.338048, 107.11608 -6.337689, 107.115721 -6.337689, 107.115721 -6.338048))",,,,,,,,,,JAWA BARAT,BEKASI,CIKARANG SELATAN,32_16_19,54.03237402,KAB. BEKASI_cikarang selatan,cikarang selatan,KAB. BEKASI,P1,Urban
35929,-105.2262796,TRUE,"POLYGON ((107.184366 -6.192132, 107.184725 -6.192132, 107.184725 -6.191773, 107.184366 -6.191773, 107.184366 -6.192132))",,,,,,,,,,JAWA BARAT,BEKASI,KARANG BAHAGIA,32_16_10,46.10441489,KAB. BEKASI_karang bahagia,karang bahagia,KAB. BEKASI,P2,SubUrban
35680,-105.078167,TRUE,"POLYGON ((107.352925 -6.326548, 107.353284 -6.326548, 107.353284 -6.326188, 107.352925 -6.326188, 107.352925 -6.326548))",,,,,,,,,,JAWA BARAT,KARAWANG,MAJALAYA,32_15_21,33.34815694,KAB. KARAWANG_majalaya,majalaya,KAB. KARAWANG,P2,SubUrban
34105,-107.6188535,TRUE,"POLYGON ((107.071155 -6.340924, 107.071514 -6.340924, 107.071514 -6.340564, 107.071155 -6.340564, 107.071155 -6.340924))",,,,,,,,,,JAWA BARAT,BEKASI,SETU,32_16_18,60.20719115,KAB. BEKASI_setu,setu,KAB. BEKASI,P1,SubUrban
34063,-105.7629686,TRUE,"POLYGON ((107.181131 -6.080718, 107.181491 -6.080718, 107.181491 -6.080359, 107.181131 -6.080359, 107.181131 -6.080718))",,,,,,,,,,JAWA BARAT,BEKASI,CABANGBUNGIN,32_16_16,49.74495994,KAB. BEKASI_cabangbungin,cabangbungin,KAB. BEKASI,P2,SubUrban
33614,-111.1828107,TRUE,"POLYGON ((107.02623 -6.363566, 107.026589 -6.363566, 107.026589 -6.363206, 107.02623 -6.363206, 107.02623 -6.363566))",,,,,,,,,,JAWA BARAT,BEKASI,SETU,32_16_18,60.20719115,KAB. BEKASI_setu,setu,KAB. BEKASI,P1,SubUrban
33531,-107.8840774,TRUE,"POLYGON ((106.766743 -6.61838, 106.767103 -6.61838, 106.767103 -6.618021, 106.766743 -6.618021, 106.766743 -6.61838))",,,,,,,,,,JAWA BARAT,BOGOR,CIOMAS,32_1_29,17.23933202,KAB. BOGOR_ciomas,ciomas,KAB. BOGOR,P2,Urban
32938,-105.6049851,TRUE,"POLYGON ((107.234323 -6.243167, 107.234682 -6.243167, 107.234682 -6.242807, 107.234323 -6.242807, 107.234323 -6.243167))",,,,,,,,,,JAWA BARAT,BEKASI,KEDUNGWARINGIN,32_16_12,30.28348232,KAB. BEKASI_kedungwaringin,kedungwaringin,KAB. BEKASI,P2,Urban
32916,-105.6841354,TRUE,"POLYGON ((107.275654 -6.21729, 107.276013 -6.21729, 107.276013 -6.216931, 107.275654 -6.216931, 107.275654 -6.21729))",,,,,,,,,,JAWA BARAT,KARAWANG,RENGASDENGKLOK,32_15_6,41.04474786,KAB. KARAWANG_rengasdengklok,rengasdengklok,KAB. KARAWANG,P1,SubUrban
31063,-105.5439591,TRUE,"POLYGON ((107.039887 -6.128159, 107.040247 -6.128159, 107.040247 -6.127799, 107.039887 -6.127799, 107.039887 -6.128159))",,,,,,,,,,JAWA BARAT,BEKASI,BABELAN,32_16_2,66.24684024,KAB. BEKASI_babelan,babelan,KAB. BEKASI,P1,Urban
30479,-114.2740247,TRUE,"POLYGON ((107.289311 -6.26509, 107.28967 -6.26509, 107.28967 -6.264731, 107.289311 -6.264731, 107.289311 -6.26509))",,,,,,,,,,JAWA BARAT,KARAWANG,KARAWANG BARAT,32_15_1,40.84377642,KAB. KARAWANG_karawang barat,karawang barat,KAB. KARAWANG,P2,Urban
30345,-108.5424287,TRUE,"POLYGON ((107.157052 -6.221962, 107.157411 -6.221962, 107.157411 -6.221603, 107.157052 -6.221603, 107.157052 -6.221962))",,,,,,,,,,JAWA BARAT,BEKASI,SUKATANI,32_16_15,38.30431256,KAB. BEKASI_sukatani,sukatani,KAB. BEKASI,P2,Urban
29845,-110.8054951,TRUE,"POLYGON ((107.432352 -6.306421, 107.432711 -6.306421, 107.432711 -6.306062, 107.432352 -6.306062, 107.432352 -6.306421))",,,,,,,,,,JAWA BARAT,KARAWANG,LEMAHABANG,32_15_19,51.5269929,KAB. KARAWANG_lemahabang,lemahabang,KAB. KARAWANG,P2,SubUrban
