rsrp-l1800-qty,rsrp-level,WKT,Provinsi,Kabupaten_Kota,Kecamatan,ID_Kecamatan,Luas_Kec_Sq_Km,Unique_XL,Kecamatan_XL,City_XL,Commercial_XL,Clutter_Type
424,-109.5566038,"POLYGON ((105.604444 -6.676603, 105.604803 -6.676603, 105.604803 -6.676244, 105.604444 -6.676244, 105.604444 -6.676603))",BANTEN,PANDEGLANG,SUMUR,36_1_1,644.3750954,KAB. PANDEGLANG_sumur,sumur,KAB. PANDEGLANG,P2,Rural
167,-117.6766467,"POLYGON ((105.613069 -6.651805, 105.613429 -6.651805, 105.613429 -6.651445, 105.613069 -6.651445, 105.613069 -6.651805))",BANTEN,PANDEGLANG,CIMANGGU,36_1_2,158.0841616,KAB. PANDEGLANG_cimanggu,cimanggu,KAB. PANDEGLANG,P2,Rural
220,-117.1636364,"POLYGON ((105.617382 -6.568424, 105.617741 -6.568424, 105.617741 -6.568064, 105.617382 -6.568064, 105.617382 -6.568424))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
416,-112.8317308,"POLYGON ((105.621695 -6.602926, 105.622054 -6.602926, 105.622054 -6.602567, 105.621695 -6.602567, 105.621695 -6.602926))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
152,-105.2565789,"POLYGON ((105.645775 -6.712903, 105.646134 -6.712903, 105.646134 -6.712543, 105.645775 -6.712543, 105.645775 -6.712903))",BANTEN,PANDEGLANG,CIMANGGU,36_1_2,158.0841616,KAB. PANDEGLANG_cimanggu,cimanggu,KAB. PANDEGLANG,P2,Rural
162,-112.4197531,"POLYGON ((105.647572 -6.713981, 105.647931 -6.713981, 105.647931 -6.713621, 105.647572 -6.713621, 105.647572 -6.713981))",BANTEN,PANDEGLANG,CIMANGGU,36_1_2,158.0841616,KAB. PANDEGLANG_cimanggu,cimanggu,KAB. PANDEGLANG,P2,Rural
242,-116.7438017,"POLYGON ((105.647931 -6.713981, 105.64829 -6.713981, 105.64829 -6.713621, 105.647931 -6.713621, 105.647931 -6.713981))",BANTEN,PANDEGLANG,CIMANGGU,36_1_2,158.0841616,KAB. PANDEGLANG_cimanggu,cimanggu,KAB. PANDEGLANG,P2,Rural
263,-108.5665399,"POLYGON ((105.651884 -6.507685, 105.652244 -6.507685, 105.652244 -6.507326, 105.651884 -6.507326, 105.651884 -6.507685))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
204,-110.0833333,"POLYGON ((105.653681 -6.481808, 105.654041 -6.481808, 105.654041 -6.481449, 105.653681 -6.481449, 105.653681 -6.481808))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
299,-114.6555184,"POLYGON ((105.654041 -6.501216, 105.6544 -6.501216, 105.6544 -6.500857, 105.654041 -6.500857, 105.654041 -6.501216))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
266,-113.0338346,"POLYGON ((105.662307 -6.537515, 105.662666 -6.537515, 105.662666 -6.537156, 105.662307 -6.537156, 105.662307 -6.537515))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
307,-122.8599349,"POLYGON ((105.662666 -6.536797, 105.663026 -6.536797, 105.663026 -6.536437, 105.662666 -6.536437, 105.662666 -6.536797))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
160,-122.8875,"POLYGON ((105.663026 -6.536078, 105.663385 -6.536078, 105.663385 -6.535718, 105.663026 -6.535718, 105.663026 -6.536078))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
264,-119.0568182,"POLYGON ((105.663026 -6.652883, 105.663385 -6.652883, 105.663385 -6.652523, 105.663026 -6.652523, 105.663026 -6.652883))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
169,-123.8994083,"POLYGON ((105.665182 -6.535359, 105.665542 -6.535359, 105.665542 -6.535, 105.665182 -6.535, 105.665182 -6.535359))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
172,-108.0930233,"POLYGON ((105.67237 -6.691339, 105.67273 -6.691339, 105.67273 -6.690979, 105.67237 -6.690979, 105.67237 -6.691339))",BANTEN,PANDEGLANG,CIMANGGU,36_1_2,158.0841616,KAB. PANDEGLANG_cimanggu,cimanggu,KAB. PANDEGLANG,P2,Rural
221,-106.2986425,"POLYGON ((105.67273 -6.501935, 105.673089 -6.501935, 105.673089 -6.501575, 105.67273 -6.501575, 105.67273 -6.501935))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
244,-107.5245902,"POLYGON ((105.674167 -6.510201, 105.674527 -6.510201, 105.674527 -6.509842, 105.674167 -6.509842, 105.674167 -6.510201))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
151,-109.1192053,"POLYGON ((105.674167 -6.51056, 105.674527 -6.51056, 105.674527 -6.510201, 105.674167 -6.510201, 105.674167 -6.51056))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
250,-107.524,"POLYGON ((105.675605 -6.694573, 105.675964 -6.694573, 105.675964 -6.694214, 105.675605 -6.694214, 105.675605 -6.694573))",BANTEN,PANDEGLANG,CIMANGGU,36_1_2,158.0841616,KAB. PANDEGLANG_cimanggu,cimanggu,KAB. PANDEGLANG,P2,Rural
300,-108.6,"POLYGON ((105.676683 -6.511639, 105.677042 -6.511639, 105.677042 -6.511279, 105.676683 -6.511279, 105.676683 -6.511639))",,,,,,,,,,
204,-114.5294118,"POLYGON ((105.683152 -6.686666, 105.683512 -6.686666, 105.683512 -6.686307, 105.683152 -6.686307, 105.683152 -6.686666))",BANTEN,PANDEGLANG,CIMANGGU,36_1_2,158.0841616,KAB. PANDEGLANG_cimanggu,cimanggu,KAB. PANDEGLANG,P2,Rural
206,-113.8932039,"POLYGON ((105.683871 -6.686307, 105.68423 -6.686307, 105.68423 -6.685948, 105.683871 -6.685948, 105.683871 -6.686307))",BANTEN,PANDEGLANG,CIMANGGU,36_1_2,158.0841616,KAB. PANDEGLANG_cimanggu,cimanggu,KAB. PANDEGLANG,P2,Rural
176,-116.8579545,"POLYGON ((105.685309 -6.551173, 105.685668 -6.551173, 105.685668 -6.550813, 105.685309 -6.550813, 105.685309 -6.551173))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
386,-107.2202073,"POLYGON ((105.687465 -6.530687, 105.687824 -6.530687, 105.687824 -6.530327, 105.687465 -6.530327, 105.687465 -6.530687))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
358,-108.6675978,"POLYGON ((105.687465 -6.531046, 105.687824 -6.531046, 105.687824 -6.530687, 105.687465 -6.530687, 105.687465 -6.531046))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
941,-107.9776833,"POLYGON ((105.6907 -6.614068, 105.691059 -6.614068, 105.691059 -6.613708, 105.6907 -6.613708, 105.6907 -6.614068))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
195,-111.6923077,"POLYGON ((105.694653 -6.525296, 105.695012 -6.525296, 105.695012 -6.524936, 105.694653 -6.524936, 105.694653 -6.525296))",BANTEN,PANDEGLANG,PANIMBANG,36_1_6,100.5144763,KAB. PANDEGLANG_panimbang,panimbang,KAB. PANDEGLANG,P1,Rural
406,-108.4064039,"POLYGON ((105.694653 -6.604723, 105.695012 -6.604723, 105.695012 -6.604364, 105.694653 -6.604364, 105.694653 -6.604723))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
198,-112.0606061,"POLYGON ((105.694653 -6.605083, 105.695012 -6.605083, 105.695012 -6.604723, 105.694653 -6.604723, 105.694653 -6.605083))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
515,-109.176699,"POLYGON ((105.695012 -6.605083, 105.695372 -6.605083, 105.695372 -6.604723, 105.695012 -6.604723, 105.695012 -6.605083))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
205,-108.2780488,"POLYGON ((105.695731 -6.610474, 105.696091 -6.610474, 105.696091 -6.610114, 105.695731 -6.610114, 105.695731 -6.610474))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
248,-111.9677419,"POLYGON ((105.697169 -6.612271, 105.697528 -6.612271, 105.697528 -6.611911, 105.697169 -6.611911, 105.697169 -6.612271))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
209,-110.4354067,"POLYGON ((105.697169 -6.61263, 105.697528 -6.61263, 105.697528 -6.612271, 105.697169 -6.612271, 105.697169 -6.61263))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
258,-107.6744186,"POLYGON ((105.698247 -6.566986, 105.698606 -6.566986, 105.698606 -6.566627, 105.698247 -6.566627, 105.698247 -6.566986))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
158,-115.4810127,"POLYGON ((105.698247 -6.574534, 105.698606 -6.574534, 105.698606 -6.574174, 105.698247 -6.574174, 105.698247 -6.574534))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
228,-110.4078947,"POLYGON ((105.698247 -6.609036, 105.698606 -6.609036, 105.698606 -6.608677, 105.698247 -6.608677, 105.698247 -6.609036))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
158,-107.7278481,"POLYGON ((105.698247 -6.629522, 105.698606 -6.629522, 105.698606 -6.629162, 105.698247 -6.629162, 105.698247 -6.629522))",BANTEN,PANDEGLANG,CIGEULIS,36_1_5,175.1665966,KAB. PANDEGLANG_cigeulis,cigeulis,KAB. PANDEGLANG,P2,Rural
