Cellname,LTE_SITE_ID,LTE_SITE_ID_2,SITE_Name
JK4G18_441PC060E_5,441PC060E,441PC060E,441PC060E_LTE_RSCM
JK4G18_441PC060E_6,441PC060E,441PC060E,441PC060E_LTE_RSCM
JK4G18_441PC287E_4,441PC287E,441PC287E,441PC287E_LTE_MENTENG_APARTEMEN
JK4G18_441PC287E_5,441PC287E,441PC287E,441PC287E_LTE_MENTENG_APARTEMEN
JK4G18_441PC415E_4,441PC415E,441PC415E,441PC415E_LTE_APART_MENTANG_PRADA
JK4G18_441PX363E_4,441PX363E,441PX363E,441PX363E_LTE_RSCM_INTERNATIONAL_BUILD
JK4G18_441PC230E_4,441PC230E,441PC230E,441PC230E_LTE_PARKLANE
JK4G18_4431855E_4,4431855E,4431855E,4431855E_LTE_POLE_R4S1_CASABLANCA
JK4G18_4435503E_4,5503G_CO,4435503E,4435503E_LTE_CASABLANCA
JK4G18_4435503E_5,5503G_CO,4435503E,4435503E_LTE_CASABLANCA
JK4G18_4435503E_6,5503G_CO,4435503E,4435503E_LTE_CASABLANCA
JK4G18_4431916E_6,3431916G_CO,4431916E,4431916E_LTE_MENTENG_ATAS_BARAT
JK4G18_4431916E_4,3431916G_CO,4431916E,4431916E_LTE_MENTENG_ATAS_BARAT
JK4G18_4431916E_5,3431916G_CO,4431916E,4431916E_LTE_MENTENG_ATAS_BARAT
JK4G18_4425083E_16_M,5083G_C2,4425083E,4425083E_LTE_JATI_PULO
JK4G18_4425083E_4,5083G_CO,4425083E,4425083E_LTE_JATI_PULO
JK4G18_4425083E_5,5083G_CO,4425083E,4425083E_LTE_JATI_PULO
JK4G18_4425083E_6,5083G_C2,4425083E,4425083E_LTE_JATI_PULO
JK4G18_4425083E_14_M,5083G_CO,4425083E,4425083E_LTE_JATI_PULO
JK4G18_4425083E_15_M,5083G_CO,4425083E,4425083E_LTE_JATI_PULO
JK4G18_4412250E_5,3412250G_CO,4412250E,4412250E_LTE_BERCA_BUILDING
JK4G18_4412153E_5,3412153G_CO,4412153E,4412153E_LTE_JALAN_KINGKIT
JK4G18_4412153E_4,3412153G_CO,4412153E,4412153E_LTE_JALAN_KINGKIT
JK4G18_4412153E_6,3412153G_CO,4412153E,4412153E_LTE_JALAN_KINGKIT
JK4G18_4412250E_4,3412250G_CO,4412250E,4412250E_LTE_BERCA_BUILDING
JK4G18_4412250E_6,3412250G_CO,4412250E,4412250E_LTE_BERCA_BUILDING
JK4G18_442V270E_4,442V270E,442V270E,442V270E_LTE_PETOJO_TANAH_ABANG
JK4G18_442V270E_5,442V270E,442V270E,442V270E_LTE_PETOJO_TANAH_ABANG
JK4G18_442V270E_6,442V270E,442V270E,442V270E_LTE_PETOJO_TANAH_ABANG
JK4G18_4411222E_14_M,5411222N_CO,4411222E,4411222E_LTE_HARMONI_HAYAM_WURUK
JK4G18_4411222E_6,5411222N_CO,4411222E,4411222E_LTE_HARMONI_HAYAM_WURUK
JK4G18_442PC472E_5,442PC472E,442PC472E,442PC472E_LTE_GRND_HYATT
JK4G18_442PC472E_4,442PC472E,442PC472E,442PC472E_LTE_GRND_HYATT
JK4G18_442PC823E_4,PC823G_CO,442PC823E,442PC823E_LTE_GRAND_INDONESIA
JK4G18_442PC823E_5,PC823G_CO,442PC823E,442PC823E_LTE_GRAND_INDONESIA
JK4G18_442PC823E_6,PC823G_CO,442PC823E,442PC823E_LTE_GRAND_INDONESIA
JK4G18_442PX349E_14,341PX349G_CO,442PX349E,442PX349E_LTE_UOB_BUILDING
JK4G18_442PX349E_24_M,341PX349G_CO,442PX349E,442PX349E_LTE_UOB_BUILDING
JK4G18_442PX349E_4,341PX349G_CO,442PX349E,442PX349E_LTE_UOB_BUILDING
JK4G18_442PX349E_5,341PX349G_CO,442PX349E,442PX349E_LTE_UOB_BUILDING
JK4G18_442PX349E_6,341PX349G_CO,442PX349E,442PX349E_LTE_UOB_BUILDING
JK4G18_441PC430E_24_P2M,441PC430E_CO,441PC430E,441PC430E_LTE_GEDUNG_SURYA
JK4G18_442PC064E_4,442PC064E,442PC064E,442PC064E_LTE_PC064_BII
JK4G18_442PC064E_5,442PC064E,442PC064E,442PC064E_LTE_PC064_BII
JK4G18_442PC513E_4,442PC513E,442PC513E,442PC513E_LTE_DEPARPOSTEL
JK4G18_441PC430E_25_P2M,441PC430E_CO,441PC430E,441PC430E_LTE_GEDUNG_SURYA
JK4G18_441PC430E_34_P2M_M,441PC430E_CO,441PC430E,441PC430E_LTE_GEDUNG_SURYA
JK4G18_441PC430E_35_P2M_M,441PC430E_CO,441PC430E,441PC430E_LTE_GEDUNG_SURYA
JK4G18_441PC430E_24_P2M,441PC430E_CO,441PC430E,441PC430E_LTE_GEDUNG_SURYA
JK4G18_441PC430E_25_P2M,441PC430E_CO,441PC430E,441PC430E_LTE_GEDUNG_SURYA
JK4G18_441PC430E_34_P2M_M,441PC430E_CO,441PC430E,441PC430E_LTE_GEDUNG_SURYA
JK4G18_441PC430E_35_P2M_M,441PC430E_CO,441PC430E,441PC430E_LTE_GEDUNG_SURYA
JK4G18_442PC120E_4,442PC120E,442PC120E,442PC120E_LTE_BIMANTARA
JK4G18_4411252E_6,4411252E_BB,4411252E,4411252E_LTE_GONDANGDIA_RELOC
JK4G18_4411252E_4,4411252E,4411252E,4411252E_LTE_GONDANGDIA_RELOC
JK4G18_4411252E_5,4411252E,4411252E,4411252E_LTE_GONDANGDIA_RELOC
JK4G18_442PC120E_5,442PC120E,442PC120E,442PC120E_LTE_BIMANTARA
