Cellname,LTE_SITE_ID,LTE_SITE_ID_2,SITE_Name
JK4G18_4435237E_6,5237G_CO,4435237E,4435237E_LTE_SELONG_SRIWIJAYA
JK4G18_4435505E_4,4435505E,4435505E,4435505E_LTE_PATIUNUS
JK4G18_4435505E_5,4435505E,4435505E,4435505E_LTE_PATIUNUS
JK4G18_4435505E_6,4435505E,4435505E,4435505E_LTE_PATIUNUS
JK4G21_441PX364E21_17_P2M,341PX364G_CO,441PX364E,441PX364E_LTE_DEPARTMEN_PU
JK4G21_441PX364E21_7,441PX364E,441PX364E,441PX364E_LTE_DEPARTMEN_PU
JK4G18_443PC016E_4,PC016G_CO,443PC016E,443PC016E_LTE_PLSENAYAN_SHANGRILLA
JK4G18_443PC016E_5,PC016G_CO,443PC016E,443PC016E_LTE_PLSENAYAN_SHANGRILLA
JK4G18_443PC016E_6,PC016G_CO,443PC016E,443PC016E_LTE_PLSENAYAN_SHANGRILLA
JK4G18_443PC016E_14,PC016G_CO,443PC016E,443PC016E_LTE_PLSENAYAN_SHANGRILLA
JK4G18_443PC030E_4,443PC030E,443PC030E,443PC030E_LTE_RATU_PLAZA
JK4G18_443PC030E_5,443PC030E,443PC030E,443PC030E_LTE_RATU_PLAZA
JK4G18_443PC325E_4,443PC325E,443PC325E,443PC325E_LTE_GEDUNG_PANIN_SENAYAN
JK4G18_443PC325E_5,443PC325E,443PC325E,443PC325E_LTE_GEDUNG_PANIN_SENAYAN
JK4G18_443PC325E_6,443PC325E,443PC325E,443PC325E_LTE_GEDUNG_PANIN_SENAYAN
