Lat Grid,Long Grid,EnodeB Ci,Kel Des,Avg Ue Thput DL (Mbps),Total Samples
-6.15346,106.724346,420054_1,CENGKARENG BARAT,2.019117647,17
-6.189392,106.841127,420007_8,KENARI,2.247,3
-6.189392,106.841127,420007_2,KENARI,2.247,3
-6.207359,106.87706,411153_5,PISANGAN TIMUR,2.584268041,194
-6.108544,106.868077,411103_11,ANCOL,0.164512821,39
-6.117527,106.872569,411103_6,TANJUNG PRIOK,1.632731092,238
-6.135493,106.895026,411092_9,RAWA BADAK SELATAN,1.027,2
-6.135493,106.912993,411092_1,TUGU SELATAN,2.387222222,9
-6.131002,106.926467,411086_27,SEMPER BARAT,2.805142857,7
-6.135493,106.930959,411081_14,SEMPER BARAT,2.177,1
-6.131002,106.926467,411081_11,SEMPER BARAT,2.805142857,7
-6.15346,106.935451,411081_1,SUKAPURA,2.812666667,3
-6.139985,106.944434,411036_9,ROROTAN,0.884,1
-6.104052,106.87706,411011_19,TANJUNG PRIOK,2.646,6
-6.15346,106.921976,410975_3,SUKAPURA,2.669166667,6
-6.135493,106.935451,410865_3,SEMPER TIMUR,2.2195,2
-6.15346,106.935451,410857_7,SUKAPURA,2.812666667,3
-6.21185,106.895026,410664_2,CIPINANG,1.5438,5
-6.162443,106.805195,410608_2,DURI PULO,1.105,3
-6.144476,106.845619,410575_8,PADEMANGAN TIMUR,2.828589311,1422
-6.131002,106.926467,410488_8,SEMPER BARAT,2.805142857,7
-6.135493,106.935451,410488_5,SEMPER TIMUR,2.2195,2
-6.131002,106.926467,410488_5,SEMPER BARAT,2.805142857,7
-6.131002,106.926467,410443_6,SEMPER BARAT,2.805142857,7
-6.189392,106.841127,410367_3,KENARI,2.247,3
-6.166934,106.868077,410351_2,CEMPAKA BARU,1.009,1
-6.144476,106.926467,410243_8,SUKAPURA,0.4,1
-6.099561,106.800703,410230_3,PENJARINGAN,0.027666667,3
-6.135493,106.921976,410115_3,SEMPER BARAT,1.736,2
-6.135493,106.921976,410115_2,SEMPER BARAT,1.736,2
-6.15346,106.935451,410041_2,SUKAPURA,2.812666667,3
-6.139985,106.917484,410039_4,SUKAPURA,1.094333333,3
-6.144476,106.895026,410039_3,KELAPA GADING BARAT,2.658969697,33
